id,n,density,runtime_exact,runtime_mcmc,err_approx_exp_lpom,err_approx_exp_glpom,err_approx_exp_loof1,err_approx_exp_loof2,err_approx_exp_mcmc,err_approx_rel_it1,err_approx_rel_it5,err_approx_rel_it10,err_approx_rel_it15,err_approx_rel_mcmc,rtime_approx_exp_lpom,rtime_approx_exp_glpom,rtime_approx_exp_loof1,rtime_approx_exp_loof2,rtime_approx_rel_it1,rtime_approx_rel_it5,rtime_approx_rel_it10,rtime_approx_rel_it15,dgraph6
1334,15,0.9619047619047619,0.013000000000147338,0.27800000000002,0.22095238095238115,1.1842378929335003e-16,0.039506172839506144,0.027930682976554624,0.0757332117244771,0.009218106995884774,0.002879500747945061,0.0028810918126768803,0.0028811582036981412,0.005048880781632822,9.999999999763531e-4,0,9.999999999763531e-4,9.999999999763531e-4,0,9.999999999763531e-4,0,0,&NF~x~~F~w^~@~wF~?^w@~?Fw?^?@w?F????@???
1335,15,0.9523809523809524,0.012999999999919964,0.37799999999992906,0.2057142857142858,5.921189464667501e-17,0.038800705467372125,0.031265394099793106,0.07397072834448526,0.00827748383303939,0.0037048005561719543,0.0037055705194927627,0.0037056037218011393,0.005128567279416831,9.999999999763531e-4,0,9.999999999763531e-4,9.999999999763531e-4,0,0,0,0,&NV~w~~F~wF~@~wF~?^w@~?Fw?^?@w?B??W?@???
1336,15,0.8761904761904763,0.013999999999896318,0.5720000000001164,0.4741880341880345,0.019047619047619188,0.1415594996050406,0.1386462340080481,0.03845963487515148,0.0359613236733203,0.013964954386787815,0.013788710019592403,0.013783062346815977,0.0038811881111419774,9.999999999763531e-4,9.999999999763531e-4,0.0010000000002037268,0.0010000000002037268,0.0010000000002037268,0,9.999999999763531e-4,9.999999999763531e-4,&NT~wn~A~wN~?~wF~?Nw?~?@w?^?@w?F??W?????
1337,15,0.8857142857142858,0.013000000000147338,0.4179999999998927,0.4406349206349208,3.552713678800501e-16,0.1493632670844066,0.09700145909587109,0.1637620828004095,0.029036456130908907,0.008741003858278099,0.00868069643328332,0.008679410817453324,0.012273771376847114,9.999999999763531e-4,9.999999999763531e-4,9.999999999763531e-4,9.999999999763531e-4,0,0,0,0,&NN~x~~F~w^~@~wF~?^w?@?Dw?N??G?F??W?@???
1338,15,0.10476190476190475,0.029999999999972715,1.19600000000014,0.23513626834381743,0.1584696016771505,0.18086371350522157,0.19431932353176323,0.11560179298929771,0.2960251856226693,0.07285976071740236,0.03224218014029141,0.02608713466901084,0.012802533567893671,9.999999999763531e-4,0,0.0019999999999527063,0.0019999999999527063,0,0,0,0,&N??????C????GwA@???????w?????????O?????
1339,15,0.13333333333333333,0.026999999999816282,1.2049999999999272,0.6006961361338519,0.3237913742290905,0.35038085052380186,0.29225481279525756,0.1258774073414225,0.3280018490122955,0.07864436705682595,0.042147483380889125,0.03681400264063407,0.01283738925281193,9.999999999763531e-4,9.999999999763531e-4,9.999999999763531e-4,0.00200000000018008,0,0,9.999999999763531e-4,0,&N??O???HOWE??????@O?O????O????A??O?????
1340,15,0.8666666666666666,0.013000000000147338,0.5190000000000055,0.6213593813593815,0.021031746031746106,0.12743491458661704,0.07956829903591647,0.083871378337212,0.0360155718607731,0.008821842437207145,0.008584107352402132,0.008574422862359654,0.008166431532196074,9.999999999763531e-4,9.999999999763531e-4,9.999999999763531e-4,9.999999999763531e-4,0,0,0,0,&N^~x~~F~wN~@~wF~?^w@z?FW?@??W?@????????
1341,15,0.9333333333333333,0.013999999999896318,0.4780000000000655,0.2057142857142857,0.011111111111111072,0.043562610229276925,0.03867832601523819,0.04800769518965774,0.013102793758759916,0.006360454729306697,0.006361346679645285,0.0063613798924650545,0.004275058123194683,9.999999999763531e-4,0,9.999999999763531e-4,9.999999999763531e-4,0,0,0,0,&NF~x~~F~w^~@~wF~?Nw@^?@w?^?@w?F??W?????
1342,15,0.03809523809523809,0.060999999999921783,1.2570000000000618,0.12088888888889186,0.08755555555555858,0.08755555555555852,0.06361145090810295,0.1888742939172089,0.2139343915343955,0.07261497857215733,0.025383320921334936,0.014634762831076767,0.018474017094664754,9.999999999763531e-4,9.999999999763531e-4,9.999999999763531e-4,0.0019999999999527063,0,0,0,9.999999999763531e-4,&N?????AA???????????@?????O?????????????
1343,15,0.9428571428571428,0.013000000000147338,0.33400000000006,0.1706959706959707,0.022222222222222233,0.05070371654923595,0.049133031992228356,0.04520682542776073,0.014034767245065954,0.006810980619347638,0.0068118528878772485,0.006811856367848668,0.004358391563330373,9.999999999763531e-4,0,9.999999999763531e-4,9.999999999763531e-4,9.999999999763531e-4,0,0,0,&N^~w~~B~wN~?~w@~?^w@~?Fw?^?@w?F??W?@???
